os,cpu,gpu,ram,kernel,driver,cpuscheduler
Steam Runtime 3 (sniper),Intel Celeron N5105 @ 2.00GHz,Intel(R) UHD Graphics (JSL),7953488,6.18.16-100.fc42.x86_64,,powersave
fps,frametime,cpu_load,cpu_power,gpu_load,cpu_temp,gpu_temp,gpu_core_clock,gpu_mem_clock,gpu_vram_used,gpu_power,ram_used,swap_used,process_rss,cpu_mhz,elapsed
15.5788,64.1898,55.9028,0,0,72,0,200,0,0,0,4.06293,1.57236,0.690079,2800,109850460
46.0172,21.731,55.9028,0,0,72,0,200,0,0,0,4.06293,1.57236,0.690079,2800,131593580
11.2893,88.5798,55.9028,0,0,72,0,200,0,0,0,4.06293,1.57236,0.690079,2800,220180872
17.1697,58.242,55.9028,0,0,72,0,200,0,0,0,4.06293,1.57236,0.690079,2800,278438628
28.4848,35.1065,55.9028,0,0,72,0,200,0,0,0,4.06293,1.57236,0.690079,2800,313534762
22.5496,44.3467,55.9028,0,0,72,0,200,0,0,0,4.06293,1.57236,0.690079,2800,357884226
14.253,70.1608,55.9028,0,0,72,0,200,0,0,0,4.06293,1.57236,0.690079,2800,428057088
27.6372,36.1832,55.9028,0,0,72,0,200,0,0,0,4.06293,1.57236,0.690079,2800,464236116
15.1276,66.1044,55.9028,0,0,72,0,200,0,0,0,4.06293,1.57236,0.690079,2800,530393027
21.2059,47.1566,93.8679,0,0,72,0,800,0,0,0,4.07907,1.57235,0.700665,2800,577512470
25.5876,39.0814,93.8679,0,0,72,0,800,0,0,0,4.07907,1.57235,0.700665,2800,617851141
24.2513,41.2349,93.8679,0,0,72,0,800,0,0,0,4.07907,1.57235,0.700665,2800,659090348
41.601,24.0379,93.8679,0,0,72,0,800,0,0,0,4.07907,1.57235,0.700665,2800,683137291
17.1127,58.4361,93.8679,0,0,72,0,800,0,0,0,4.07907,1.57235,0.700665,2800,741568250
2.41224,414.552,93.8679,0,0,72,0,800,0,0,0,4.07907,1.57235,0.700665,2800,1156132973
15.9599,62.6571,97.9839,0,0,73,0,200,0,0,0,4.01807,1.57234,0.70462,2800,1218785360
16.1064,62.0872,97.9839,0,0,73,0,200,0,0,0,4.01807,1.57234,0.70462,2800,1280872678
14.9881,66.7198,97.9839,0,0,73,0,200,0,0,0,4.01807,1.57234,0.70462,2800,1347608772
36.768,27.1975,97.9839,0,0,73,0,200,0,0,0,4.01807,1.57234,0.70462,2800,1374819889
24.9169,40.1335,97.9839,0,0,73,0,200,0,0,0,4.01807,1.57234,0.70462,2800,1414957915
48.7098,20.5298,97.9839,0,0,73,0,200,0,0,0,4.01807,1.57234,0.70462,2800,1435483058
16.6922,59.9081,97.9839,0,0,73,0,200,0,0,0,4.01807,1.57234,0.70462,2800,1495393298
29.0263,34.4515,97.9839,0,0,73,0,200,0,0,0,4.01807,1.57234,0.70462,2800,1529857509
23.52,42.5171,97.9839,0,0,73,0,200,0,0,0,4.01807,1.57234,0.70462,2800,1572378628
22.417,44.609,97.9839,0,0,73,0,200,0,0,0,4.01807,1.57234,0.70462,2800,1616985766
16.0573,62.2769,97.9839,0,0,73,0,200,0,0,0,4.01807,1.57234,0.70462,2800,1679706725
19.1762,52.148,96.0976,0,0,73,0,750,0,0,0,4.1874,1.57234,0.729038,2800,1731620096
